Id	Tense	Sentence
57	Simple Future Tense	He will say he is going to work.
58	Future Continuous Tense	He will be saying he is going to work.
59	Future Perfect Tense	He will have said he is going to work.
60	Future Perfect Continuous Tense	He will have been saying he is going to work.
61	Simple Present Tense	He does not go to work.
62	Present Continuous Tense	He is not going to work.
63	Present Perfect Tense	He has not gone to work.
64	Present Perfect Continuous Tense	He has not been going to work.
65	Simple Past Tense	He did not go to work.
66	Past Continuous Tense	He was not going to work.
67	Past Perfect Tense	He had not gone to work.
68	Past Perfect Continuous Tense	He had not been going to work.
69	Simple Future Tense	He will not go to work.
70	Future Continuous Tense	He will not be going to work.
71	Future Perfect Tense	He will not have gone to work.
72	Future Perfect Continuous Tense	He will not have been going to work.
73	Simple Present Tense	He writes a letter.
74	Present Continuous Tense	He is writing a letter.
75	Present Perfect Tense	He has written a letter.
76	Present Perfect Continuous Tense	He has been writing a letter.
77	Simple Past Tense	He wrote a letter.
78	Past Continuous Tense	He was writing a letter.
79	Past Perfect Tense	He had written a letter.
80	Past Perfect Continuous Tense	He had been writing a letter.
81	Simple Future Tense	He will write a letter.
82	Future Continuous Tense	He will be writing a letter.
83	Future Perfect Tense	He will have written a letter.
84	Future Perfect Continuous Tense	He will have been writing a letter.
85	Simple Present Tense	He looks at the sky.
86	Present Continuous Tense	He is looking at the sky.
87	Present Perfect Tense	He has looked at the sky.
88	Present Perfect Continuous Tense	He has been looking at the sky.
89	Simple Past Tense	He looked at the sky.
90	Past Continuous Tense	He was looking at the sky.
91	Past Perfect Tense	He had looked at the sky.
92	Past Perfect Continuous Tense	He had been looking at the sky.
93	Simple Future Tense	He will look at the sky.
94	Future Continuous Tense	He will be looking at the sky.
95	Future Perfect Tense	He will have looked at the sky.
96	Future Perfect Continuous Tense	He will have been looking at the sky.
97	Simple Present Tense	She eats a sandwich.
98	Present Continuous Tense	She is eating a sandwich.
99	Present Perfect Tense	She has eaten a sandwich.
100	Present Perfect Continuous Tense	She has been eating a sandwich.
101	Simple Past Tense	She ate a sandwich.
102	Past Continuous Tense	She was eating a sandwich.
103	Past Perfect Tense	She had eaten a sandwich.
104	Past Perfect Continuous Tense	She had been eating a sandwich.
105	Simple Future Tense	She will eat a sandwich.
106	Future Continuous Tense	She will be eating a sandwich.
107	Future Perfect Tense	She will have eaten a sandwich.
108	Future Perfect Continuous Tense	She will have been eating a sandwich.
109	Simple Present Tense	He lives in a flat.
110	Present Continuous Tense	He is living in a flat.
111	Present Perfect Tense	He has lived in a flat.
112	Present Perfect Continuous Tense	He has been living in a flat.
113	Simple Past Tense	He lived in a flat.
114	Past Continuous Tense	He was living in a flat.
115	Past Perfect Tense	He had lived in a flat.
116	Past Perfect Continuous Tense	He had been living in a flat.
117	Simple Future Tense	He will live in a flat.
118	Future Continuous Tense	He will be living in a flat.
119	Future Perfect Tense	He will have lived in a flat.
120	Future Perfect Continuous Tense	He will have been living in a flat.
121	Simple Present Tense	He likes music.
122	Present Continuous Tense	He is liking music.
123	Present Perfect Tense	He has liked music.
124	Present Perfect Continuous Tense	He has been liking music.
125	Simple Past Tense	He liked music.
126	Past Continuous Tense	He was liking music.
127	Past Perfect Tense	He had liked music.
128	Past Perfect Continuous Tense	He had been liking music.
129	Simple Future Tense	He will like music.
130	Future Continuous Tense	He will be liking music.
131	Future Perfect Tense	He will have liked music.
132	Future Perfect Continuous Tense	He will have been liking music.
133	Simple Present Tense	He sits on the chair.
134	Present Continuous Tense	He is sitting on the chair.
135	Present Perfect Tense	He has sat on the chair.
136	Present Perfect Continuous Tense	He has been sitting on the chair.
137	Simple Past Tense	He sat on the chair.
138	Past Continuous Tense	He was sitting on the chair.
139	Past Perfect Tense	He had sat on the chair.
140	Past Perfect Continuous Tense	He had been sitting on the chair.
141	Simple Future Tense	He will sit on the chair.
142	Future Continuous Tense	He will be sitting on the chair.
143	Future Perfect Tense	He will have sat on the chair.
144	Future Perfect Continuous Tense	He will have been sitting on the chair.
145	Simple Present Tense	She sings a song.
146	Present Continuous Tense	She is singing the song.
147	Present Perfect Tense	She has sung the song.
148	Present Perfect Continuous Tense	She has been singing my song.
149	Simple Past Tense	She sang the song.
150	Past Continuous Tense	She was singing a song.
151	Past Perfect Tense	She had sung the song.
152	Past Perfect Continuous Tense	She had been singing the song.
153	Simple Future Tense	She will sing a song.
154	Future Continuous Tense	She will be singing the song.
155	Future Perfect Tense	She will have sung the song.
156	Future Perfect Continuous Tense	She will have been singing the song.
157	Simple Present Tense	He does his homework.
158	Present Continuous Tense	He is doing his homework.
159	Present Perfect Tense	He has done his homework.
160	Present Perfect Continuous Tense	He has been doing his homework.
161	Simple Past Tense	He did his homework.
162	Past Continuous Tense	He was doing his homework.
163	Past Perfect Tense	He had done his homework.
164	Past Perfect Continuous Tense	He had been doing his homework.
165	Simple Future Tense	He will do his homework.
166	Future Continuous Tense	He will be doing his homework.
167	Future Perfect Tense	He will have done his homework.
168	Future Perfect Continuous Tense	He will have been doing his homework.
169	Simple Present Tense	He teaches a class.
170	Present Continuous Tense	He is teaching a class.
171	Present Perfect Tense	He has taught a class.
172	Present Perfect Continuous Tense	He has been teaching a class.
173	Simple Past Tense	He taught a class.
174	Past Continuous Tense	He was teaching a class.
175	Past Perfect Tense	He had taught a class.
176	Past Perfect Continuous Tense	He had been teaching a class.
177	Simple Future Tense	He will teach a class.
178	Future Continuous Tense	He will be teaching a class.
179	Future Perfect Tense	He will have taught a class.
180	Future Perfect Continuous Tense	He will have been teaching a class.
181	Simple Present Tense	He is a teacher.
182	Present Continuous Tense	He is being a teacher.
183	Present Perfect Tense	He has been a teacher.
184	Present Perfect Continuous Tense	He has been being a teacher.
185	Simple Past Tense	He was a teacher.
186	Past Continuous Tense	He was being a teacher.
187	Past Perfect Tense	He had been a teacher.
188	Past Perfect Continuous Tense	He had been being a teacher.
189	Simple Future Tense	He will be a teacher.
190	Future Continuous Tense	He will be being a teacher.
191	Future Perfect Tense	He will have been a teacher.
192	Future Perfect Continuous Tense	He will have been being a teacher.
193	Simple Present Tense	He paints the wall.
194	Present Continuous Tense	He is painting the wall.
195	Present Perfect Tense	He has painted the wall.
196	Present Perfect Continuous Tense	He has been painting the wall.
197	Simple Past Tense	He painted the wall.
198	Past Continuous Tense	He was painting the wall.
199	Past Perfect Tense	He had painted the wall.
200	Past Perfect Continuous Tense	He had been painting the wall.
201	Simple Future Tense	He will paint the wall.
202	Future Continuous Tense	He will be painting the wall.
203	Future Perfect Tense	He will have painted the wall.
204	Future Perfect Continuous Tense	He will have been painting the wall.
205	Simple Present Tense	He knows the answer.
206	Present Continuous Tense	He is knowing the answer.
207	Present Perfect Tense	He has known the answer.
208	Present Perfect Continuous Tense	He has been knowing the answer.
209	Simple Past Tense	He knew the answer.
210	Past Continuous Tense	He was knowing the answer.
211	Past Perfect Tense	He had known the answer.
212	Past Perfect Continuous Tense	He had been knowing the answer.
213	Simple Future Tense	He will know the answer.
214	Future Continuous Tense	He will be knowing the answer.
215	Future Perfect Tense	He will have known the answer.
216	Future Perfect Continuous Tense	He will have been knowing the answer.
217	Simple Present Tense	She goes to school.
218	Present Continuous Tense	She is going to school.
219	Present Perfect Tense	She has gone to school.
220	Present Perfect Continuous Tense	She has been going to school.
221	Simple Past Tense	She went to school.
222	Past Continuous Tense	She was going to school.
223	Past Perfect Tense	She had gone to school.
224	Past Perfect Continuous Tense	She had been going to school.
225	Simple Future Tense	She will go to school.
226	Future Continuous Tense	She will be going to school.
227	Future Perfect Tense	She will have gone to school.
228	Future Perfect Continuous Tense	She will have been going to school.
229	Simple Present Tense	He watches TV.
230	Present Continuous Tense	He is watching TV.
231	Present Perfect Tense	He has been watching TV.
232	Present Perfect Continuous Tense	He has been watching TV.
233	Simple Past Tense	He watched TV.
234	Past Continuous Tense	He was watching TV.
235	Past Perfect Tense	He had watched TV.
236	Past Perfect Continuous Tense	He had been watching TV.
237	Simple Future Tense	He will watch TV.
238	Future Continuous Tense	He will be watching TV.
239	Future Perfect Tense	He will have watched TV.
240	Future Perfect Continuous Tense	He will have been watching TV.
241	Simple Present Tense	He plays football.
242	Present Continuous Tense	He is playing football.
243	Present Perfect Tense	He has played football.
244	Present Perfect Continuous Tense	He has been playing football.
245	Simple Past Tense	He played football.
246	Past Continuous Tense	He was playing football.
247	Past Perfect Tense	He had played football.
248	Past Perfect Continuous Tense	He had been playing football.
249	Simple Future Tense	He will play football.
250	Future Continuous Tense	He will be playing football.
251	Future Perfect Tense	He will have played football.
252	Future Perfect Continuous Tense	He will have been playing football.
253	Simple Present Tense	He takes the bus.
254	Present Continuous Tense	He is taking the bus.
255	Present Perfect Tense	He has taken the bus.
256	Present Perfect Continuous Tense	He has been taking the bus.
257	Simple Past Tense	He took the bus.
258	Past Continuous Tense	He was taking the bus.
259	Past Perfect Tense	He had taken the bus.
260	Past Perfect Continuous Tense	He had been taking the bus.
261	Simple Future Tense	He will take the bus.
262	Future Continuous Tense	He will be taking the bus.
263	Future Perfect Tense	He will have taken the bus.
264	Future Perfect Continuous Tense	He will have been taking the bus.
265	Simple Present Tense	She dances.
266	Present Continuous Tense	She is dancing.
267	Present Perfect Tense	She has danced.
268	Present Perfect Continuous Tense	She has been dancing.
269	Simple Past Tense	She danced.
270	Past Continuous Tense	She was dancing.
271	Past Perfect Tense	She had danced.
272	Past Perfect Continuous Tense	She had been dancing.
273	Simple Future Tense	She will dance.
274	Future Continuous Tense	She will be dancing.
275	Future Perfect Tense	She will have danced.
276	Future Perfect Continuous Tense	She will have been dancing.
277	Simple Present Tense	He laughs.
278	Present Continuous Tense	He is laughing.
279	Present Perfect Tense	He has laughed.
280	Present Perfect Continuous Tense	He has been laughing.
281	Simple Past Tense	He laughed.
282	Past Continuous Tense	He was laughing.
283	Past Perfect Tense	He had laughed.
284	Past Perfect Continuous Tense	He had been laughing.
285	Simple Future Tense	He will laugh.
286	Future Continuous Tense	He will be laughing.
287	Future Perfect Tense	He will have laughed.
288	Future Perfect Continuous Tense	He will have been laughing.
289	Simple Present Tense	She plays.
290	Present Continuous Tense	She is playing.
291	Present Perfect Tense	She has played.
292	Present Perfect Continuous Tense	She has been playing.
293	Simple Past Tense	She played.
294	Past Continuous Tense	She was playing.
295	Past Perfect Tense	She had played.
296	Past Perfect Continuous Tense	She had been playing.
297	Simple Future Tense	She will play.
298	Future Continuous Tense	She will be playing.
299	Future Perfect Tense	She will have played.
300	Future Perfect Continuous Tense	She will have been playing.
301	Simple Present Tense	She runs.
302	Present Continuous Tense	She is running.
303	Present Perfect Tense	She has run.
304	Present Perfect Continuous Tense	She has been running.
305	Simple Past Tense	She ran.
306	Past Continuous Tense	She was running.
307	Past Perfect Tense	She had run.
308	Past Perfect Continuous Tense	She had been running.
309	Simple Future Tense	She will run.
310	Future Continuous Tense	She will be running.
311	Future Perfect Tense	She will have run.
312	Future Perfect Continuous Tense	She will have been running.
313	Simple Present Tense	She works.
314	Present Continuous Tense	She is working.
315	Present Perfect Tense	She has worked.
316	Present Perfect Continuous Tense	She has been working.
317	Simple Past Tense	She worked.
318	Past Continuous Tense	She was working.
319	Past Perfect Tense	She had worked.
320	Past Perfect Continuous Tense	She had been working.
321	Simple Future Tense	She will work.
322	Future Continuous Tense	She will be working.
323	Future Perfect Tense	She will have worked.
324	Future Perfect Continuous Tense	She will have been working.
325	Simple Present Tense	She walks.
326	Present Continuous Tense	She is walking.
327	Present Perfect Tense	She has walked.
328	Present Perfect Continuous Tense	She has been walking.
329	Simple Past Tense	She walked.
330	Past Continuous Tense	She was walking.
331	Past Perfect Tense	She had walked.
332	Past Perfect Continuous Tense	She had been walking.
333	Simple Future Tense	She will walk.
334	Future Continuous Tense	She will be walking.
335	Future Perfect Tense	She will have walked.
336	Future Perfect Continuous Tense	She will have been walking.
337	Simple Present Tense	He swims.
338	Present Continuous Tense	He is swimming.
339	Present Perfect Tense	He has swum.
340	Present Perfect Continuous Tense	He has been swimming.
341	Simple Past Tense	He swam.
342	Past Continuous Tense	He was swimming.
343	Past Perfect Tense	He had swum.
344	Past Perfect Continuous Tense	He had been swimming.
345	Simple Future Tense	He will swim.
346	Future Continuous Tense	He will be swimming.
347	Future Perfect Tense	He will have swum.
348	Future Perfect Continuous Tense	He will have been swimming.
349	Simple Present Tense	He sees.
350	Present Continuous Tense	He is seeing.
351	Present Perfect Tense	He has seen.
352	Present Perfect Continuous Tense	He has been seeing.
353	Simple Past Tense	He saw.
354	Past Continuous Tense	He was seeing.
355	Past Perfect Tense	He had seen.
356	Past Perfect Continuous Tense	He had been seeing.
357	Simple Future Tense	He will see.
358	Future Continuous Tense	He will be seeing.
359	Future Perfect Tense	He will have seen.
360	Future Perfect Continuous Tense	He will have been seeing.
361	Simple Present Tense	He hears.
362	Present Continuous Tense	He is hearing.
363	Present Perfect Tense	He has heard.
364	Present Perfect Continuous Tense	He has been hearing.
365	Simple Past Tense	He heard.
366	Past Continuous Tense	He was hearing.
367	Past Perfect Tense	He had heard.
368	Past Perfect Continuous Tense	He had been hearing.
369	Simple Future Tense	He will hear.
370	Future Continuous Tense	He will be hearing.
371	Future Perfect Tense	He will have heard.
372	Future Perfect Continuous Tense	He will have been hearing.
373	Simple Present Tense	She trains.
374	Present Continuous Tense	She is training.
375	Present Perfect Tense	She has trained.
376	Present Perfect Continuous Tense	She has been training.
377	Simple Past Tense	She trained.
378	Past Continuous Tense	She was training.
379	Past Perfect Tense	She had trained.
380	Past Perfect Continuous Tense	She had been training.
381	Simple Future Tense	She will train.
382	Future Continuous Tense	She will be training.
383	Future Perfect Tense	She will have trained.
384	Future Perfect Continuous Tense	She will have been training.
385	Simple Present Tense	It breaks.
386	Present Continuous Tense	It is breaking.
387	Present Perfect Tense	It has broken.
388	Present Perfect Continuous Tense	It has been breaking.
389	Simple Past Tense	It broke.
390	Past Continuous Tense	It was breaking.
391	Past Perfect Tense	It had broken.
392	Past Perfect Continuous Tense	It had been breaking.
393	Simple Future Tense	It will break.
394	Future Continuous Tense	It will be breaking.
395	Future Perfect Tense	It will have broken.
396	Future Perfect Continuous Tense	It will have been breaking.
397	Simple Present Tense	It rains.
398	Present Continuous Tense	It is raining.
399	Present Perfect Tense	It has rained.
400	Present Perfect Continuous Tense	It has been raining.
401	Simple Past Tense	It rained.
402	Past Continuous Tense	It was raining.
403	Past Perfect Tense	It had rained.
404	Past Perfect Continuous Tense	It had been raining.
405	Simple Future Tense	It will rain.
406	Future Continuous Tense	It will be raining.
407	Future Perfect Tense	It will have rained.
408	Future Perfect Continuous Tense	It will have been raining.
409	Simple Present Tense	She loves.
410	Present Continuous Tense	She is loving.
411	Present Perfect Tense	She has loved.
412	Present Perfect Continuous Tense	She has been loving.
413	Simple Past Tense	She loved.
414	Past Continuous Tense	She was loving.
415	Past Perfect Tense	She had loved.
416	Past Perfect Continuous Tense	She had been loving.
417	Simple Future Tense	She will love.
418	Future Continuous Tense	She will be loving.
419	Future Perfect Tense	She will have loved.
420	Future Perfect Continuous Tense	She will have been loving.
421	Simple Present Tense	She repeats it.
422	Present Continuous Tense	She is repeating it.
423	Present Perfect Tense	She has repeated it.
424	Present Perfect Continuous Tense	She has been repeating it.
425	Simple Past Tense	She repeated it.
426	Past Continuous Tense	She was repeating it.
427	Past Perfect Tense	She had repeated it.
428	Past Perfect Continuous Tense	She had been repeating it.
429	Simple Future Tense	She will repeat it.
430	Future Continuous Tense	She will be repeating it.
431	Future Perfect Tense	She will have repeated it.
432	Future Perfect Continuous Tense	She will have been repeating it.
433	Simple Present Tense	She asks for help.
434	Present Continuous Tense	She is asking for help.
435	Present Perfect Tense	She has asked for help.
436	Present Perfect Continuous Tense	She has been asking for help.
437	Simple Past Tense	She asked for help.
438	Past Continuous Tense	She was asking for help.
439	Past Perfect Tense	She had asked for help.
440	Past Perfect Continuous Tense	She had been asking for help.
441	Simple Future Tense	She will ask for help.
442	Future Continuous Tense	She will be asking for help.
443	Future Perfect Tense	She will have asked for help.
444	Future Perfect Continuous Tense	She will have been asking for help.
445	Simple Present Tense	He thinks about it.
446	Present Continuous Tense	He is thinking about it.
447	Present Perfect Tense	He has thought about it.
448	Present Perfect Continuous Tense	He has been thinking about it.
449	Simple Past Tense	He thought about it.
450	Past Continuous Tense	He was thinking about it.
451	Past Perfect Tense	He had thought about it.
452	Past Perfect Continuous Tense	He had been thinking about it.
453	Simple Future Tense	He will think about it.
454	Future Continuous Tense	He will be thinking about it.
455	Future Perfect Tense	He will have thought about it.
456	Future Perfect Continuous Tense	He will have been thinking about it.
457	Simple Present Tense	She learns about it.
458	Present Continuous Tense	She is learning about it.
459	Present Perfect Tense	She has learned about it.
460	Present Perfect Continuous Tense	She has been learning about it.
461	Simple Past Tense	She learned about it.
462	Past Continuous Tense	She was learning about it.
463	Past Perfect Tense	She had learned about it.
464	Past Perfect Continuous Tense	She had been learning about it.
465	Simple Future Tense	She will learn about it.
466	Future Continuous Tense	She will be learning about it.
467	Future Perfect Tense	She will have learned about it.
468	Future Perfect Continuous Tense	She will have been learning about it.
469	Simple Present Tense	He talks about it.
470	Present Continuous Tense	He is talking about it.
471	Present Perfect Tense	He has talked about it.
472	Present Perfect Continuous Tense	He has been talking about it.
473	Simple Past Tense	He talked about it.
474	Past Continuous Tense	He was talking about it.
475	Past Perfect Tense	He had talked about it.
476	Past Perfect Continuous Tense	He had been talking about it.
477	Simple Future Tense	He will talk about it.
478	Future Continuous Tense	He will be talking about it.
479	Future Perfect Tense	He will have talked about it.
480	Future Perfect Continuous Tense	He will have been talking about it.
481	Simple Present Tense	She hears the music.
482	Present Continuous Tense	She is hearing the music.
483	Present Perfect Tense	She has heard the music.
484	Present Perfect Continuous Tense	She has been hearing the music.
485	Simple Past Tense	She heard the music.
486	Past Continuous Tense	She was hearing the music.
487	Past Perfect Tense	She had heard the music.
488	Past Perfect Continuous Tense	She had been hearing the music.
489	Simple Future Tense	She will hear the music.
490	Future Continuous Tense	She will be hearing the music.
491	Future Perfect Tense	She will have heard the music.
492	Future Perfect Continuous Tense	She will have been hearing the music.
493	Simple Present Tense	She wants to go.
494	Present Continuous Tense	She is wanting to go.
495	Present Perfect Tense	She has wanted to go.
496	Present Perfect Continuous Tense	She has been wanting to go.
497	Simple Past Tense	She wanted to go.
498	Past Continuous Tense	She was wanting to go.
499	Past Perfect Tense	She had wanted to go.
500	Past Perfect Continuous Tense	She had been wanting to go.
501	Simple Future Tense	She will want to go.
502	Future Continuous Tense	She will be wanting to go.
503	Future Perfect Tense	She will have wanted to go.
504	Future Perfect Continuous Tense	She will have been wanting to go.
505	Simple Present Tense	She speaks to him.
506	Present Continuous Tense	She is speaking to him.
507	Present Perfect Tense	She has spoken to him.
508	Present Perfect Continuous Tense	She has been speaking to him.
509	Simple Past Tense	She spoke to him.
510	Past Continuous Tense	She was speaking to him.
511	Past Perfect Tense	She had spoken to him.
512	Past Perfect Continuous Tense	She had been speaking to him.
513	Simple Future Tense	She will speak to him.
514	Future Continuous Tense	She will be speaking to him.
515	Future Perfect Tense	She will have spoken to him.
516	Future Perfect Continuous Tense	She will have been speaking to him.
517	Simple Present Tense	She comes to the party.
518	Present Continuous Tense	She is coming to the party.
519	Present Perfect Tense	She has come to the party.
520	Present Perfect Continuous Tense	She has been coming to the party.
521	Simple Past Tense	She came to the party.
522	Past Continuous Tense	She was coming to the party.
523	Past Perfect Tense	She had come to the party.
524	Past Perfect Continuous Tense	She had been coming to the party.
525	Simple Future Tense	She will come to the party.
526	Future Continuous Tense	She will be coming to the party.
527	Future Perfect Tense	She will have come to the party.
528	Future Perfect Continuous Tense	She will have been coming to the party.
529	Simple Present Tense	She drives a car.
530	Present Continuous Tense	She is driving a car.
531	Present Perfect Tense	She has driven a car.
532	Present Perfect Continuous Tense	She has been driving a car.
533	Simple Past Tense	She drove a car.
534	Past Continuous Tense	She was driving a car.
535	Past Perfect Tense	She had driven a car.
536	Past Perfect Continuous Tense	She had been driving a car.
537	Simple Future Tense	She will drive a car.
538	Future Continuous Tense	She will be driving a car.
539	Future Perfect Tense	She will have driven a car.
540	Future Perfect Continuous Tense	She will have been driving a car.
541	Simple Present Tense	He flies a plane.
542	Present Continuous Tense	He is flying a plane.
543	Present Perfect Tense	He has flown a plane.
544	Present Perfect Continuous Tense	He has been flying a plane.
545	Simple Past Tense	He flew a plane.
546	Past Continuous Tense	He was flying a plane.
547	Past Perfect Tense	He had flown a plane.
548	Past Perfect Continuous Tense	He had been flying a plane.
549	Simple Future Tense	He will fly a plane.
550	Future Continuous Tense	He will be flying a plane.
551	Future Perfect Tense	He will have flown a plane.
552	Future Perfect Continuous Tense	He will have been flying a plane.
553	Simple Present Tense	She gives a lecture.
554	Present Continuous Tense	She is giving a lecture.
555	Present Perfect Tense	She has given a lecture.
556	Present Perfect Continuous Tense	She has been giving a lecture.
557	Simple Past Tense	She gave a lecture.
558	Past Continuous Tense	She was giving a lecture.
559	Past Perfect Tense	She had given a lecture.
560	Past Perfect Continuous Tense	She had been giving a lecture.
561	Simple Future Tense	She will give a lecture.
562	Future Continuous Tense	She will be giving a lecture.
563	Future Perfect Tense	She will have given a lecture.
564	Future Perfect Continuous Tense	She will have been giving a lecture.
565	Simple Present Tense	He sleeps.
566	Present Continuous Tense	He is sleeping.
567	Present Perfect Tense	He has slept.
568	Present Perfect Continuous Tense	He has been sleeping.
569	Simple Past Tense	He slept.
570	Past Continuous Tense	He was sleeping.
571	Past Perfect Tense	He had slept.
572	Past Perfect Continuous Tense	He had been sleeping.
573	Simple Future Tense	He will sleep.
574	Future Continuous Tense	He will be sleeping.
575	Future Perfect Tense	He will have slept.
576	Future Perfect Continuous Tense	He will have been sleeping.
577	Simple Present Tense	He calls her.
578	Present Continuous Tense	He is calling her.
579	Present Perfect Tense	He has called her.
580	Present Perfect Continuous Tense	He has been calling her.
581	Simple Past Tense	He called her.
582	Past Continuous Tense	He was calling her.
583	Past Perfect Tense	He had called her.
584	Past Perfect Continuous Tense	He had been calling her.
585	Simple Future Tense	He will call her.
586	Future Continuous Tense	He will be calling her.
587	Future Perfect Tense	He will have called her.
588	Future Perfect Continuous Tense	He will have been calling her.
589	Simple Present Tense	She leaves him.
590	Present Continuous Tense	She is leaving him.
591	Present Perfect Tense	She has left him.
592	Present Perfect Continuous Tense	She has been leaving him.
593	Simple Past Tense	She left him.
594	Past Continuous Tense	She was leaving him.
595	Past Perfect Tense	She had left him.
596	Past Perfect Continuous Tense	She had been leaving him.
597	Simple Future Tense	She will leave him.
598	Future Continuous Tense	She will be leaving him.
599	Future Perfect Tense	She will have left him.
600	Future Perfect Continuous Tense	She will have been leaving him.
601	Simple Present Tense	He makes her happy.
602	Present Continuous Tense	He is making her happy.
603	Present Perfect Tense	He has made her happy.
604	Present Perfect Continuous Tense	He has been making her happy.
605	Simple Past Tense	He made her happy.
606	Past Continuous Tense	He was making her happy.
607	Past Perfect Tense	He had made her happy.
608	Past Perfect Continuous Tense	He had been making her happy.
609	Simple Future Tense	He will make her happy.
610	Future Continuous Tense	He will be making her happy.
611	Future Perfect Tense	He will have made her happy.
612	Future Perfect Continuous Tense	He will have been making her happy.
613	Simple Present Tense	She tells him.
614	Present Continuous Tense	She is telling him.
615	Present Perfect Tense	She has told him.
616	Present Perfect Continuous Tense	She has been telling him.
617	Simple Past Tense	She told him.
618	Past Continuous Tense	She was telling him.
619	Past Perfect Tense	She had told him.
620	Past Perfect Continuous Tense	She had been telling him.
621	Simple Future Tense	She will tell him.
622	Future Continuous Tense	She will be telling him.
623	Future Perfect Tense	She will have told him.
624	Future Perfect Continuous Tense	She will have been telling him.
625	Simple Present Tense	He lets her go.
626	Present Continuous Tense	He is letting her go.
627	Present Perfect Tense	He has let her go.
628	Present Perfect Continuous Tense	He has been letting her go.
629	Simple Past Tense	He let her go.
630	Past Continuous Tense	He was letting her go.
631	Past Perfect Tense	He had let her go.
632	Past Perfect Continuous Tense	He had been letting her go.
633	Simple Future Tense	He will let her go.
634	Future Continuous Tense	He will be letting her go.
635	Future Perfect Tense	He will have let her go.
636	Future Perfect Continuous Tense	He will have been letting her go.
637	Simple Present Tense	He takes her out.
638	Present Continuous Tense	He is taking her out.
639	Present Perfect Tense	He has taken her out.
640	Present Perfect Continuous Tense	He has been taking her out.
641	Simple Past Tense	He took her out.
642	Past Continuous Tense	He was taking her out.
643	Past Perfect Tense	He had taken her out.
644	Past Perfect Continuous Tense	He had been taking her out.
645	Simple Future Tense	He will take her out.
646	Future Continuous Tense	He will be taking her out.
647	Future Perfect Tense	He will have taken her out.
648	Future Perfect Continuous Tense	He will have been taking her out.
649	Simple Present Tense	He likes her.
650	Present Continuous Tense	He is liking her.
651	Present Perfect Tense	He has liked her.
652	Present Perfect Continuous Tense	He has been liking her.
653	Simple Past Tense	He liked her.
654	Past Continuous Tense	He was liking her.
655	Past Perfect Tense	He had liked her.
656	Past Perfect Continuous Tense	He had been liking her.
657	Simple Future Tense	He will like her.
658	Future Continuous Tense	He will be liking her.
659	Future Perfect Tense	He will have liked her.
660	Future Perfect Continuous Tense	He will have been liking her.
661	Simple Present Tense	She gives him a dollar.
662	Present Continuous Tense	She is giving him a dollar.
663	Present Perfect Tense	She has given him a dollar.
664	Present Perfect Continuous Tense	She has been giving him a dollar.
665	Simple Past Tense	She gave him a dollar.
666	Past Continuous Tense	She was giving him a dollar.
667	Past Perfect Tense	She had given him a dollar.
