Id	Tense	Sentence
258	Past Continuous Tense	since this week he was taking the bus.
259	Past Perfect Tense	last saturday he had taken the bus.
260	Past Perfect Continuous Tense	last year he had been taking the bus.
261	Simple Future Tense	soon he will take the bus.
262	Future Continuous Tense	next morning he will be taking the bus.
263	Future Perfect Tense	next spring he will have taken the bus.
264	Future Perfect Continuous Tense	by next week he will have been taking the bus.
265	Simple Present Tense	today she dances.
266	Present Continuous Tense	at the moment she is dancing.
267	Present Perfect Tense	today she has danced.
268	Present Perfect Continuous Tense	this day she has been dancing.
269	Simple Past Tense	yesterday at breakfast she danced.
270	Past Continuous Tense	since 12 o'clock she was dancing.
271	Past Perfect Tense	after last year she had danced.
272	Past Perfect Continuous Tense	since this year she had been dancing.
273	Simple Future Tense	later this day she will dance.
274	Future Continuous Tense	after this day she will be dancing.
275	Future Perfect Tense	next winter she will have danced.
276	Future Perfect Continuous Tense	by tomorrow she will have been dancing.
277	Simple Present Tense	today he laughs.
278	Present Continuous Tense	now he is laughing.
279	Present Perfect Tense	this day he has laughed.
280	Present Perfect Continuous Tense	this day he has been laughing.
281	Simple Past Tense	before last year he laughed.
282	Past Continuous Tense	after last year he was laughing.
283	Past Perfect Tense	after 2 o'clock he had laughed.
284	Past Perfect Continuous Tense	since wednesday he had been laughing.
285	Simple Future Tense	next spring he will laugh.
286	Future Continuous Tense	tomorrow night he will be laughing.
287	Future Perfect Tense	after this evening he will have laughed.
288	Future Perfect Continuous Tense	by next week he will have been laughing.
289	Simple Present Tense	today she plays.
290	Present Continuous Tense	at the moment she is playing.
291	Present Perfect Tense	this day she has played.
292	Present Perfect Continuous Tense	today she has been playing.
293	Simple Past Tense	yesterday evening she played.
294	Past Continuous Tense	since last summer she was playing.
295	Past Perfect Tense	yesterday at dinner she had played.
296	Past Perfect Continuous Tense	since monday she had been playing.
297	Simple Future Tense	later today she will play.
298	Future Continuous Tense	after this morning she will be playing.
299	Future Perfect Tense	soon she will have played.
300	Future Perfect Continuous Tense	before the end of summer, she will have been playing.
301	Simple Present Tense	this day she runs.
302	Present Continuous Tense	this day she is running.
303	Present Perfect Tense	this day she has run.
304	Present Perfect Continuous Tense	this day she has been running.
305	Simple Past Tense	after this autumn she ran.
306	Past Continuous Tense	since 9 am she was running.
307	Past Perfect Tense	previously she had run.
308	Past Perfect Continuous Tense	before 9 am she had been running.
309	Simple Future Tense	later she will run.
310	Future Continuous Tense	after dinner she will be running.
311	Future Perfect Tense	next winter she will have run.
312	Future Perfect Continuous Tense	in a few weeks she will have been running.
313	Simple Present Tense	today she works.
314	Present Continuous Tense	at the moment she is working.
315	Present Perfect Tense	today she has worked.
316	Present Perfect Continuous Tense	today she has been working.
317	Simple Past Tense	yesterday morning she worked.
318	Past Continuous Tense	after last evening she was working.
319	Past Perfect Tense	yesterday at breakfast she had worked.
320	Past Perfect Continuous Tense	after today she had been working.
321	Simple Future Tense	after this week she will work.
322	Future Continuous Tense	after this evening she will be working.
323	Future Perfect Tense	after this winter she will have worked.
324	Future Perfect Continuous Tense	by tomorrow she will have been working.
325	Simple Present Tense	today she walks.
326	Present Continuous Tense	now she is walking.
327	Present Perfect Tense	today she has walked.
328	Present Perfect Continuous Tense	today she has been walking.
329	Simple Past Tense	after 2 o'clock she walked.
330	Past Continuous Tense	after this year she was walking.
331	Past Perfect Tense	after last spring she had walked.
332	Past Perfect Continuous Tense	after this day she had been walking.
333	Simple Future Tense	after this night she will walk.
334	Future Continuous Tense	after this day she will be walking.
335	Future Perfect Tense	tomorrow night she will have walked.
336	Future Perfect Continuous Tense	by next week she will have been walking.
337	Simple Present Tense	this day he swims.
338	Present Continuous Tense	at the moment he is swimming.
339	Present Perfect Tense	today he has swum.
340	Present Perfect Continuous Tense	today he has been swimming.
341	Simple Past Tense	after this week he swam.
342	Past Continuous Tense	after 9 o'clock he was swimming.
343	Past Perfect Tense	last spring he had swum.
344	Past Perfect Continuous Tense	earlier this day he had been swimming.
345	Simple Future Tense	next breakfast he will swim.
346	Future Continuous Tense	later he will be swimming.
347	Future Perfect Tense	after this summer he will have swum.
348	Future Perfect Continuous Tense	in a few weeks he will have been swimming.
349	Simple Present Tense	today he sees.
350	Present Continuous Tense	now he is seeing.
351	Present Perfect Tense	this day he has seen.
352	Present Perfect Continuous Tense	today he has been seeing.
353	Simple Past Tense	after this winter he saw.
354	Past Continuous Tense	after last spring he was seeing.
355	Past Perfect Tense	after this morning he had seen.
356	Past Perfect Continuous Tense	since this weekend he had been seeing.
357	Simple Future Tense	tomorrow at 7 am he will see.
358	Future Continuous Tense	later this evening he will be seeing.
359	Future Perfect Tense	after this spring he will have seen.
360	Future Perfect Continuous Tense	in a few weeks he will have been seeing.
361	Simple Present Tense	today he hears.
362	Present Continuous Tense	now he is hearing.
363	Present Perfect Tense	today he has heard.
364	Present Perfect Continuous Tense	today he has been hearing.
365	Simple Past Tense	after last week he heard.
366	Past Continuous Tense	since this week he was hearing.
367	Past Perfect Tense	after this year he had heard.
368	Past Perfect Continuous Tense	yesterday morning he had been hearing.
369	Simple Future Tense	next evening he will hear.
370	Future Continuous Tense	next lunch he will be hearing.
371	Future Perfect Tense	after this weekend he will have heard.
372	Future Perfect Continuous Tense	by next week he will have been hearing.
373	Simple Present Tense	this day she trains.
374	Present Continuous Tense	at the moment she is training.
375	Present Perfect Tense	today she has trained.
376	Present Perfect Continuous Tense	this day she has been training.
377	Simple Past Tense	after last summer she trained.
378	Past Continuous Tense	since last summer she was training.
379	Past Perfect Tense	after last spring she had trained.
380	Past Perfect Continuous Tense	since sunday she had been training.
381	Simple Future Tense	later this evening she will train.
382	Future Continuous Tense	after lunch she will be training.
383	Future Perfect Tense	tomorrow at 12 o'clock she will have trained.
384	Future Perfect Continuous Tense	by next week she will have been training.
385	Simple Present Tense	this day it breaks.
386	Present Continuous Tense	today it is breaking.
387	Present Perfect Tense	this day it has broken.
388	Present Perfect Continuous Tense	this day it has been breaking.
389	Simple Past Tense	yesterday morning it broke.
390	Past Continuous Tense	after this spring it was breaking.
391	Past Perfect Tense	last sunday it had broken.
392	Past Perfect Continuous Tense	since last year it had been breaking.
393	Simple Future Tense	next week it will break.
394	Future Continuous Tense	after this evening it will be breaking.
395	Future Perfect Tense	after this summer it will have broken.
396	Future Perfect Continuous Tense	by tomorrow it will have been breaking.
397	Simple Present Tense	today it rains.
398	Present Continuous Tense	now it is raining.
399	Present Perfect Tense	this day it has rained.
400	Present Perfect Continuous Tense	today it has been raining.
401	Simple Past Tense	after this spring it rained.
402	Past Continuous Tense	recently it was raining.
403	Past Perfect Tense	after 7 am it had rained.
404	Past Perfect Continuous Tense	after last morning it had been raining.
405	Simple Future Tense	next breakfast it will rain.
406	Future Continuous Tense	next summer it will be raining.
407	Future Perfect Tense	next night it will have rained.
408	Future Perfect Continuous Tense	by tomorrow it will have been raining.
409	Simple Present Tense	this day she loves.
410	Present Continuous Tense	at the moment she is loving.
411	Present Perfect Tense	this day she has loved.
412	Present Perfect Continuous Tense	today she has been loving.
413	Simple Past Tense	last tuesday she loved.
414	Past Continuous Tense	since wednesday she was loving.
415	Past Perfect Tense	last week she had loved.
416	Past Perfect Continuous Tense	since last summer she had been loving.
417	Simple Future Tense	later she will love.
418	Future Continuous Tense	after this winter she will be loving.
419	Future Perfect Tense	tomorrow at 1 pm she will have loved.
420	Future Perfect Continuous Tense	before the end of summer, she will have been loving.
421	Simple Present Tense	today she repeats it.
422	Present Continuous Tense	today she is repeating it.
423	Present Perfect Tense	this day she has repeated it.
424	Present Perfect Continuous Tense	this day she has been repeating it.
425	Simple Past Tense	after 1 pm she repeated it.
426	Past Continuous Tense	since 1 pm she was repeating it.
427	Past Perfect Tense	after last night she had repeated it.
428	Past Perfect Continuous Tense	after 7 am she had been repeating it.
429	Simple Future Tense	next summer she will repeat it.
430	Future Continuous Tense	after this evening she will be repeating it.
431	Future Perfect Tense	then she will have repeated it.
432	Future Perfect Continuous Tense	by the end of this year, she will have been repeating it.
433	Simple Present Tense	this day she asks for help.
434	Present Continuous Tense	at the moment she is asking for help.
435	Present Perfect Tense	today she has asked for help.
436	Present Perfect Continuous Tense	this day she has been asking for help.
437	Simple Past Tense	last spring she asked for help.
438	Past Continuous Tense	last friday she was asking for help.
439	Past Perfect Tense	last friday she had asked for help.
440	Past Perfect Continuous Tense	since 12 o'clock she had been asking for help.
441	Simple Future Tense	next winter she will ask for help.
442	Future Continuous Tense	next spring she will be asking for help.
443	Future Perfect Tense	next night she will have asked for help.
444	Future Perfect Continuous Tense	by next week she will have been asking for help.
445	Simple Present Tense	this day he thinks about it.
446	Present Continuous Tense	this day he is thinking about it.
447	Present Perfect Tense	this day he has thought about it.
448	Present Perfect Continuous Tense	this day he has been thinking about it.
449	Simple Past Tense	last thursday he thought about it.
450	Past Continuous Tense	after last autumn he was thinking about it.
451	Past Perfect Tense	before this day he had thought about it.
452	Past Perfect Continuous Tense	since tuesday he had been thinking about it.
453	Simple Future Tense	after this autumn he will think about it.
454	Future Continuous Tense	after this winter he will be thinking about it.
455	Future Perfect Tense	next dinner he will have thought about it.
456	Future Perfect Continuous Tense	by next week he will have been thinking about it.
457	Simple Present Tense	this day she learns about it.
458	Present Continuous Tense	this day she is learning about it.
459	Present Perfect Tense	this day she has learned about it.
460	Present Perfect Continuous Tense	today she has been learning about it.
461	Simple Past Tense	before thursday she learned about it.
462	Past Continuous Tense	since tuesday she was learning about it.
463	Past Perfect Tense	before 9 am she had learned about it.
464	Past Perfect Continuous Tense	after this week she had been learning about it.
465	Simple Future Tense	after this day she will learn about it.
466	Future Continuous Tense	soon she will be learning about it.
467	Future Perfect Tense	after this year she will have learned about it.
468	Future Perfect Continuous Tense	before the end of summer, she will have been learning about it.
469	Simple Present Tense	today he talks about it.
470	Present Continuous Tense	at the moment he is talking about it.
471	Present Perfect Tense	today he has talked about it.
472	Present Perfect Continuous Tense	today he has been talking about it.
473	Simple Past Tense	recently he talked about it.
474	Past Continuous Tense	last friday he was talking about it.
475	Past Perfect Tense	after this morning he had talked about it.
476	Past Perfect Continuous Tense	before sunday he had been talking about it.
477	Simple Future Tense	after this week he will talk about it.
478	Future Continuous Tense	next year he will be talking about it.
479	Future Perfect Tense	the next day he will have talked about it.
480	Future Perfect Continuous Tense	by the end of this year, he will have been talking about it.
481	Simple Present Tense	today she hears the music.
482	Present Continuous Tense	this day she is hearing the music.
483	Present Perfect Tense	this day she has heard the music.
484	Present Perfect Continuous Tense	this day she has been hearing the music.
485	Simple Past Tense	before last year she heard the music.
486	Past Continuous Tense	last winter she was hearing the music.
487	Past Perfect Tense	before sunday she had heard the music.
488	Past Perfect Continuous Tense	last sunday she had been hearing the music.
489	Simple Future Tense	next evening she will hear the music.
490	Future Continuous Tense	later she will be hearing the music.
491	Future Perfect Tense	tomorrow night she will have heard the music.
492	Future Perfect Continuous Tense	by tomorrow she will have been hearing the music.
493	Simple Present Tense	today she wants to go.
494	Present Continuous Tense	today she is wanting to go.
495	Present Perfect Tense	this day she has wanted to go.
496	Present Perfect Continuous Tense	today she has been wanting to go.
497	Simple Past Tense	earlier this night she wanted to go.
498	Past Continuous Tense	before monday she was wanting to go.
499	Past Perfect Tense	after 1 pm she had wanted to go.
500	Past Perfect Continuous Tense	since monday she had been wanting to go.
501	Simple Future Tense	next dinner she will want to go.
502	Future Continuous Tense	after this autumn she will be wanting to go.
503	Future Perfect Tense	tomorrow night she will have wanted to go.
504	Future Perfect Continuous Tense	by tomorrow she will have been wanting to go.
505	Simple Present Tense	this day she speaks to him.
506	Present Continuous Tense	this day she is speaking to him.
507	Present Perfect Tense	today she has spoken to him.
508	Present Perfect Continuous Tense	this day she has been speaking to him.
509	Simple Past Tense	after last autumn she spoke to him.
510	Past Continuous Tense	since this weekend she was speaking to him.
511	Past Perfect Tense	before this year she had spoken to him.
512	Past Perfect Continuous Tense	since saturday she had been speaking to him.
513	Simple Future Tense	later this night she will speak to him.
514	Future Continuous Tense	next breakfast she will be speaking to him.
515	Future Perfect Tense	next morning she will have spoken to him.
516	Future Perfect Continuous Tense	by the end of this year, she will have been speaking to him.
517	Simple Present Tense	this day she comes to the party.
518	Present Continuous Tense	this day she is coming to the party.
519	Present Perfect Tense	today she has come to the party.
520	Present Perfect Continuous Tense	today she has been coming to the party.
521	Simple Past Tense	last year she came to the party.
522	Past Continuous Tense	since 1 pm she was coming to the party.
523	Past Perfect Tense	after breakfast she had come to the party.
524	Past Perfect Continuous Tense	before last year she had been coming to the party.
525	Simple Future Tense	next lunch she will come to the party.
526	Future Continuous Tense	tomorrrow evening she will be coming to the party.
527	Future Perfect Tense	after this day she will have come to the party.
528	Future Perfect Continuous Tense	by the end of this year, she will have been coming to the party.
529	Simple Present Tense	today she drives a car.
530	Present Continuous Tense	at the moment she is driving a car.
531	Present Perfect Tense	today she has driven a car.
532	Present Perfect Continuous Tense	this day she has been driving a car.
533	Simple Past Tense	after this weekend she drove a car.
534	Past Continuous Tense	last friday she was driving a car.
535	Past Perfect Tense	after this spring she had driven a car.
536	Past Perfect Continuous Tense	since 9 am she had been driving a car.
537	Simple Future Tense	after lunch she will drive a car.
538	Future Continuous Tense	later today she will be driving a car.
539	Future Perfect Tense	next night she will have driven a car.
540	Future Perfect Continuous Tense	in a few weeks she will have been driving a car.
541	Simple Present Tense	today he flies a plane.
542	Present Continuous Tense	at the moment he is flying a plane.
543	Present Perfect Tense	today he has flown a plane.
544	Present Perfect Continuous Tense	today he has been flying a plane.
545	Simple Past Tense	yesterday at dinner he flew a plane.
546	Past Continuous Tense	since last autumn he was flying a plane.
547	Past Perfect Tense	after last winter he had flown a plane.
548	Past Perfect Continuous Tense	last thursday he had been flying a plane.
549	Simple Future Tense	next dinner he will fly a plane.
550	Future Continuous Tense	tomorrow at 12 o'clock he will be flying a plane.
551	Future Perfect Tense	later he will have flown a plane.
552	Future Perfect Continuous Tense	by the end of this year, he will have been flying a plane.
553	Simple Present Tense	this day she gives a lecture.
554	Present Continuous Tense	today she is giving a lecture.
555	Present Perfect Tense	this day she has given a lecture.
556	Present Perfect Continuous Tense	this day she has been giving a lecture.
557	Simple Past Tense	before tuesday she gave a lecture.
558	Past Continuous Tense	since wednesday she was giving a lecture.
559	Past Perfect Tense	earlier this night she had given a lecture.
560	Past Perfect Continuous Tense	yesterday at lunch she had been giving a lecture.
561	Simple Future Tense	after this day she will give a lecture.
562	Future Continuous Tense	next autumn she will be giving a lecture.
563	Future Perfect Tense	after this winter she will have given a lecture.
564	Future Perfect Continuous Tense	by tomorrow she will have been giving a lecture.
565	Simple Present Tense	this day he sleeps.
566	Present Continuous Tense	now he is sleeping.
567	Present Perfect Tense	this day he has slept.
568	Present Perfect Continuous Tense	this day he has been sleeping.
569	Simple Past Tense	earlier this day he slept.
570	Past Continuous Tense	since this weekend he was sleeping.
